2023-11-19 17:24:57,508 p=28460 u=anton n=ansible | PLAY [all] *********************************************************************
2023-11-19 17:24:57,517 p=28460 u=anton n=ansible | TASK [Gathering Facts] *********************************************************
2023-11-19 17:24:58,994 p=28460 u=anton n=ansible | ok: [worker2]
2023-11-19 17:24:58,997 p=28460 u=anton n=ansible | ok: [master1]
2023-11-19 17:24:59,018 p=28460 u=anton n=ansible | ok: [worker1]
2023-11-19 17:24:59,050 p=28460 u=anton n=ansible | TASK [ping] ********************************************************************
2023-11-19 17:24:59,520 p=28460 u=anton n=ansible | ok: [worker1]
2023-11-19 17:24:59,524 p=28460 u=anton n=ansible | ok: [worker2]
2023-11-19 17:24:59,525 p=28460 u=anton n=ansible | ok: [master1]
2023-11-19 17:24:59,543 p=28460 u=anton n=ansible | TASK [Update apt packages] *****************************************************
2023-11-19 17:25:50,214 p=28460 u=anton n=ansible |  [ERROR]: User interrupted execution

2023-11-19 17:25:54,270 p=28549 u=anton n=ansible | PLAY [all] *********************************************************************
2023-11-19 17:25:54,279 p=28549 u=anton n=ansible | TASK [Gathering Facts] *********************************************************
2023-11-19 17:25:54,904 p=28549 u=anton n=ansible | fatal: [worker1]: FAILED! => {"msg": "Missing sudo password"}
2023-11-19 17:25:54,906 p=28549 u=anton n=ansible | fatal: [worker2]: FAILED! => {"msg": "Missing sudo password"}
2023-11-19 17:25:54,913 p=28549 u=anton n=ansible | fatal: [master1]: FAILED! => {"msg": "Missing sudo password"}
2023-11-19 17:25:54,915 p=28549 u=anton n=ansible | PLAY RECAP *********************************************************************
2023-11-19 17:25:54,915 p=28549 u=anton n=ansible | master1                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-11-19 17:25:54,915 p=28549 u=anton n=ansible | worker1                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-11-19 17:25:54,915 p=28549 u=anton n=ansible | worker2                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-11-19 17:26:38,194 p=28592 u=anton n=ansible | PLAY [all] *********************************************************************
2023-11-19 17:26:38,204 p=28592 u=anton n=ansible | TASK [Gathering Facts] *********************************************************
2023-11-19 17:26:38,798 p=28592 u=anton n=ansible | fatal: [master1]: FAILED! => {"msg": "Missing sudo password"}
2023-11-19 17:26:38,799 p=28592 u=anton n=ansible | fatal: [worker2]: FAILED! => {"msg": "Missing sudo password"}
2023-11-19 17:26:38,800 p=28592 u=anton n=ansible | fatal: [worker1]: FAILED! => {"msg": "Missing sudo password"}
2023-11-19 17:26:38,801 p=28592 u=anton n=ansible | PLAY RECAP *********************************************************************
2023-11-19 17:26:38,802 p=28592 u=anton n=ansible | master1                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-11-19 17:26:38,802 p=28592 u=anton n=ansible | worker1                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-11-19 17:26:38,802 p=28592 u=anton n=ansible | worker2                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-11-19 17:26:54,963 p=28658 u=anton n=ansible | PLAY [all] *********************************************************************
2023-11-19 17:26:54,973 p=28658 u=anton n=ansible | TASK [Gathering Facts] *********************************************************
2023-11-19 17:26:56,402 p=28658 u=anton n=ansible | ok: [worker2]
2023-11-19 17:26:56,406 p=28658 u=anton n=ansible | ok: [worker1]
2023-11-19 17:26:56,443 p=28658 u=anton n=ansible | ok: [master1]
2023-11-19 17:26:56,473 p=28658 u=anton n=ansible | TASK [ping] ********************************************************************
2023-11-19 17:26:57,171 p=28658 u=anton n=ansible | ok: [master1]
2023-11-19 17:26:57,171 p=28658 u=anton n=ansible | ok: [worker1]
2023-11-19 17:26:57,195 p=28658 u=anton n=ansible | ok: [worker2]
2023-11-19 17:26:57,213 p=28658 u=anton n=ansible | TASK [Update apt packages] *****************************************************
2023-11-19 17:27:58,090 p=28658 u=anton n=ansible | fatal: [worker2]: FAILED! => {"changed": false, "msg": "Failed to lock apt for exclusive operation: Failed to lock directory /var/lib/apt/lists/: E:Could not open lock file /var/lib/apt/lists/lock - open (13: Permission denied)"}
2023-11-19 17:27:58,095 p=28658 u=anton n=ansible | fatal: [master1]: FAILED! => {"changed": false, "msg": "Failed to lock apt for exclusive operation: Failed to lock directory /var/lib/apt/lists/: E:Could not open lock file /var/lib/apt/lists/lock - open (13: Permission denied)"}
2023-11-19 17:27:58,123 p=28658 u=anton n=ansible | fatal: [worker1]: FAILED! => {"changed": false, "msg": "Failed to lock apt for exclusive operation: Failed to lock directory /var/lib/apt/lists/: E:Could not open lock file /var/lib/apt/lists/lock - open (13: Permission denied)"}
2023-11-19 17:27:58,125 p=28658 u=anton n=ansible | PLAY RECAP *********************************************************************
2023-11-19 17:27:58,125 p=28658 u=anton n=ansible | master1                    : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-11-19 17:27:58,125 p=28658 u=anton n=ansible | worker1                    : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
